Updated 04/26/25 at 07:05pm,Position Rank,Position,Team,Value,Age,Rookie,SFPosition Rank,SFValue,RdrftPosition Rank,RdrftValue
Dameon Pierce,RB80,RB,HOU,1707,25.2,No,RB82,1394,,0
Jaydon Blue,RB81,RB,FA,1703,-1.0,Yes,RB79,1518,,0
Dillon Gabriel,QB35,QB,FA,1697,-1.0,Yes,QB43,1698,,0
Jameis Winston,QB36,QB,NYG,1682,31.3,No,QB38,1923,,0
2026 Mid 4th,,PI,,1681,,,,1610,,0
Jacob Cowing,WR116,WR,SFO,1680.99,24.2,No,WR120,1382,,0
Ty Johnson,RB82,RB,BUF,1667,27.6,No,RB81,1432,,0
2027 Early 4th,,PI,,1665,,,,1562,,0
Khalil Herbert,RB83,RB,IND,1650,27.0,No,RB83,1378,,0
Kirk Cousins,QB37,QB,ATL,1643,36.7,No,QB35,2243,,0
Calvin Austin III,WR117,WR,PIT,1634,26.1,No,WR115,1414,,0
Xavier Hutchinson,WR118,WR,HOU,1624,24.9,No,WR117,1397,,0
Greg Dortch,WR119,WR,ARI,1615,26.9,No,WR118,1396,,0
Treylon Burks,WR120,WR,TEN,1605,25.1,No,WR116,1401,,0
Mike Williams,WR121,WR,LAC,1595,30.6,No,WR122,1358,,0
Emanuel Wilson,RB84,RB,GBP,1581,26.0,No,RB84,1337,,0
Sincere McCormick,RB85,RB,LVR,1564,24.6,No,RB88,1249,,0
Alexander Mattison,RB86,RB,MIA,1555,26.8,No,RB85,1319,,0
Diontae Johnson,WR122,WR,BAL,1550,28.8,No,WR121,1361,,0
Cam Akers,RB87,RB,MIN,1549.99,25.8,No,RB86,1311,,0
Colby Parkinson,TE44,TE,LAR,1533,26.3,No,TE45,1338,,0
2027 Mid 4th,,PI,,1518,,,,1322,,0
Derek Carr,QB38,QB,NOS,1511,34.1,No,QB36,2129,,0
Devontez Walker,WR123,WR,BAL,1507,23.8,No,WR123,1337.99,,0
Tyler Conklin,TE45,TE,LAC,1505,29.7,No,TE46,1328,,0
Darnell Washington,TE46,TE,PIT,1484,23.7,No,TE47,1326,,0
Ray-Ray McCloud,WR124,WR,ATL,1480,28.5,No,WR125,1248.99,,0
Will Levis,QB39,QB,TEN,1468,25.8,No,QB40,1831,,0
Jake Bobo,WR125,WR,SEA,1462,26.7,No,WR128,1234,,0
Daniel Jones,QB40,QB,IND,1461,27.9,No,QB34,2334,,0
Israel Abanikanda,RB88,RB,SFO,1460.99,22.6,No,RB87,1264,,0
2026 Late 4th,,PI,,1460,,,,1368,,0
Daniel Bellinger,TE47,TE,NYG,1453,24.6,No,TE48,1318,,0
Tahj Washington,WR126,WR,MIA,1435,23.9,No,WR124,1267,,0
Zamir White,RB89,RB,LVR,1424,25.6,No,RB90,1183,,0
Taysom Hill,TE48,TE,NOS,1416,34.7,No,TE44,1346,,0
Bub Means,WR127,WR,NOS,1398,24.3,No,WR126,1243,,0
Olamide Zaccheaus,WR128,WR,CHI,1389,27.8,No,WR131,1177,,0
AJ Dillon,RB90,RB,PHI,1386,27.0,No,RB91,1181,,0
Brandin Cooks,WR129,WR,NOS,1385,31.6,No,WR130,1204,,0
Kendrick Bourne,WR130,WR,NEP,1376,29.7,No,WR129,1220,,0
Brenden Rice,WR131,WR,LAC,1375,23.1,No,WR132,1176.99,,0
Miles Sanders,RB91,RB,DAL,1373,28.0,No,RB89,1192,,0
Spencer Rattler,QB41,QB,NOS,1370,24.6,No,QB39,1845,,0
Tyler Higbee,TE49,TE,LAR,1357,32.3,No,TE51,1178,,0
Will Dissly,TE50,TE,LAC,1350,28.8,No,TE49,1244,,0
Tyler Lockett,WR132,WR,TEN,1349,32.6,No,WR133,1141,,0
